name,persuasion,opinion_leadership,deception,gaslighting,appeal_to_authority,bandwagoning,vote_whipping,coalition_building,threat_or_intimidatation,norm_enforcement,total
Anika,0,0,0,0,0,0,0,0,0,0,0
Derek,0,0,0,0,0,0,0,0,0,0,0
Emma,0,0,1,0,0,0,0,0,0,0,1
Enrique,0,0,0,0,0,0,0,0,0,0,0
George,2,0,0,0,0,0,1,0,0,0,3
Maria,0,0,0,0,0,0,0,0,0,0,0
Nick,0,0,0,0,0,0,0,0,0,0,0
Peter,0,0,0,0,0,0,0,1,0,0,1
Philip,0,0,0,0,0,0,0,0,0,0,0
Sarah,1,0,0,0,0,1,0,0,0,0,2
Talia,0,0,1,0,0,0,0,0,0,0,1
Zelda,0,0,0,0,0,0,0,0,0,0,0
